Source,Target,Weight
A2AQY9,Q8BTY1,1.0
A2AQY9,A0A0G2JGE1,1.0
A1A547,Q8VCS0,1.0
A2ART8,P21981,1.0
A2ART8,Q08189,1.0
A2ART8,Q8BH61,1.0
A2ART8,Q9JLF6,1.0
A2ART8,Q8BZH1,1.0
A2ART8,A0A0R4J293,1.0
A2ART8,Q9D7I9,1.0
A2ART8,Q6YCI4,1.0
A2AJB7,O09114,1.0
A2AUQ8,P38649,1.0
A2AUQ8,Q3V1N9,1.0
A2AUQ8,Q8VI38,1.0
A2AUQ8,P23336,1.0
A2AUQ8,A2AUQ7,1.0
A2AUQ8,Q2NKH9,1.0
A2AUQ8,Q3TXW0,1.0
A2AUQ8,Q8C2H7,1.0
A2AUQ8,Q91W00,1.0
A2AUQ8,Q9DBU1,1.0
A2AUQ8,B2FDI6,1.0
A2AUR3,Q60866,1.0
A2AUR5,Q60866,1.0
A2APF3,Q8CCE9,1.0
A2AVR6,Q8VHQ9,1.0
A2AVR6,Q9DBK0,1.0
A2AW15,Q3UVR3,1.0
B1ATI0,E9Q3E1,1.0
B1ATI0,P47739,1.0
B1ATI0,P47740,1.0
B1ATI0,Q80VQ0,1.0
B1ATI0,Q9JHW9,1.0
B2RRX1,P60710,1.0
B2RRX1,P62737,1.0
B2RRX1,P63260,1.0
B2RRX1,P63268,1.0
B2RRX1,P68033,1.0
B2RRX1,P68134,1.0
A2CG76,Q9Z148,1.0
B7ZNG0,P28738,1.0
A2CGA5,O08863,1.0
A2CGA5,Q62210,1.0
D0G895,P09470,1.0
D0G895,Q3TU20,1.0
D0G895,Q3U3Q7,1.0
D0G895,Q5XK22,1.0
D0G895,A0A9Y0B4B2,1.0
D0G895,F6QCP8,1.0
D0G895,Q7TSV8,1.0
D0G895,Q8K233,1.0
A2RSC2,Q8VHQ9,1.0
A2RSC2,Q9DBK0,1.0
A2RSF4,P58006,1.0
A2RSF4,P58043,1.0
A2RSF4,Q9CYP7,1.0
A2RSG8,O35674,1.0
A2RSG8,Q05910,1.0
A2RSG8,Q61072,1.0
A2RSG8,Q61824,1.0
A2RSG8,Q9JI76,1.0
A2RSG8,Q9JLN6,1.0
A2RSG8,Q923W9,1.0
A2RSS6,Q64191,1.0
A2RT05,P27545,1.0
E9PX95,E9Q876,1.0
E9PX95,P41233,1.0
E9PX95,P41234,1.0
E9PX95,Q5SSE9,1.0
E9PX95,Q8K440,1.0
E9PX95,Q8K442,1.0
E9PX95,Q8K448,1.0
E9PX95,Q8R420,1.0
E9PX95,Q8K449,1.0
E9PXU2,Q9Z0F8,1.0
A2TJ61,Q8VCS0,1.0
A2VDH5,Q3UM18,1.0
E9Q5R7,Q8R4B8,1.0
A3KMC9,Q923E4,1.0
A3KN68,P80560,1.0
A3QWY0,Q9WTZ2,1.0
A3R3W7,P00416,1.0
A4FUU9,Q9DBC0,1.0
A4PBQ8,E9Q876,1.0
A4PBQ8,P41233,1.0
A4PBQ8,P41234,1.0
A4PBQ8,Q5SSE9,1.0
A4PBQ8,Q8K440,1.0
A4PBQ8,Q8K442,1.0
A4PBQ8,Q8K448,1.0
A4PBQ8,Q8R420,1.0
A4PBQ8,Q8K449,1.0
A4QPC5,F2YMG0,1.0
A4QPC5,P00755,1.0
A4QPC5,P00756,1.0
A4QPC5,P03953,1.0
A4QPC5,P04187,1.0
A4QPC5,P11032,1.0
A4QPC5,P15948,1.0
A4QPC5,P15949,1.0
A4QPC5,P21812,1.0
A4QPC5,P21844,1.0
A4QPC5,P21845,1.0
A4QPC5,P28293,1.0
A4QPC5,P36369,1.0
A4QPC5,Q02844,1.0
A4QPC5,Q3V0Q7,1.0
A4QPC5,Q402U7,1.0
A4QPC5,Q61759,1.0
A4QPC5,Q61955,1.0
A4QPC5,Q8VIF2,1.0
A4QPC5,Q91VE3,1.0
A4QPC5,Q924N9,1.0
A4QPC5,Q99MS4,1.0
A4QPC5,Q9ESD1,1.0
A4QPC5,Q9JHJ7,1.0
A4QPC5,Q9JM71,1.0
A4QPC5,A6H6T1,1.0
A4QPC5,P07628,1.0
A4QPC5,P08883,1.0
A4QPC5,P08884,1.0
A4QPC5,P11033,1.0
A4QPC5,P11034,1.0
A4QPC5,P13366,1.0
A4QPC5,P15945,1.0
A4QPC5,P15946,1.0
A4QPC5,P15947,1.0
A4QPC5,Q80WM7,1.0
A4QPC5,Q920S2,1.0
A4QPC5,Q9CR35,1.0
A4QPC5,Q9QYN3,1.0
A4QPC5,Q9QYZ9,1.0
A4QPC5,O35164,1.0
A4QPC5,O35205,1.0
A4QPC5,P04071,1.0
A4QPC5,P15119,1.0
A4QPC5,P43430,1.0
A4QPC5,Q14B25,1.0
A4QPC5,Q3UKY7,1.0
A4QPC5,Q571E5,1.0
A4QPC5,Q61754,1.0
A4QPC5,Q8BJR6,1.0
A4QPC5,Q9D9M0,1.0
A4QPC5,Q9ER10,1.0
A4QPC5,B7ZNS9,1.0
A4QPC5,Q00356,1.0
A4QPC5,Q3UP47,1.0
A5A4Y9,Q8K1L5,1.0
A5A4Z0,Q8K1L5,1.0
A5A4Z1,Q8K1L5,1.0
A5A4Z2,Q8K1L5,1.0
A6H622,P62827,1.0
A6H622,Q61820,1.0
A6H649,O88839,1.0
A6H649,Q9R159,1.0
A6H653,A2A974,1.0
A6H653,O88833,1.0
A6H653,P28649,1.0
A6H653,Q91WL5,1.0
A6H653,Q64462,1.0
A6H653,Q9DBW0,1.0
A6H653,Q3ZAT3,1.0
A6H653,Q6A152,1.0
A6H653,Q9EP75,1.0
A6H653,A0A1L1SUD6,1.0
O08553,Q9EQF5,1.0
A6H695,Q8K4F5,1.0
A6H695,Q3V1F8,1.0
A6H695,Q6IE26,1.0
A6H695,D3YYK0,1.0
A6H695,Q8R0P8,1.0
O08644,Q99KA8,0.8
A7E1Y2,O09110,1.0
A7E1Y2,O54863,1.0
A7E1Y2,O55047,1.0
A7E1Y2,P08414,1.0
A7E1Y2,P47809,1.0
A7E1Y2,P70236,1.0
A7E1Y2,Q3UIZ8,1.0
A7E1Y2,Q61241,1.0
A7E1Y2,Q641K5,1.0
A7E1Y2,Q8BW96,1.0
A7E1Y2,Q8BZN4,1.0
A7E1Y2,Q8C078,1.0
A7E1Y2,Q8C0V0,1.0
A7E1Y2,Q8VBY2,1.0
A7E1Y2,Q8VDF3,1.0
A7E1Y2,Q91VB2,1.0
A7E1Y2,Q91YA2,1.0
A7E1Y2,Q91YS8,1.0
A7E1Y2,Q924X7,1.0
A7E1Y2,Q99MQ3,0.7142857142857143
A7E1Y2,Q9R0A5,1.0
A7E1Y2,Q9Z0H0,1.0
A7E1Y2,P0C5K0,1.0
A7E1Y2,Q543Z5,1.0
A7E1Y2,Q5SWN9,1.0
A7E1Y2,Q8BGW6,1.0
A7E1Y2,A2AGS2,1.0
A7E1Y2,A2AM78,0.7142857142857143
A7E1Y2,P0C5K1,1.0
A7E1Y2,Q3U258,0.7142857142857143
A7E1Y2,Q3UU57,1.0
A7E1Y2,Q543X6,1.0
A7E1Y2,Q5DU52,0.7142857142857143
A7E1Y2,Q5SUV5,1.0
A7E1Y2,Q6IS31,0.7142857142857143
A7E1Y2,Q8BP44,1.0
A7E1Y2,Q8C0X8,1.0
A7E1Y2,Q8QZV4,1.0
A7E1Y2,Q9JJX8,1.0
A7E1Y2,A0AA95Z2J0,1.0
A7E1Y2,D3YV51,1.0
A7E1Y2,Q3TJG7,1.0
A7E1Y2,Q3TLX7,1.0
A7E1Y2,Q3TN15,1.0
A7E1Y2,Q3TX82,1.0
A7E1Y2,Q3UDI2,1.0
A7E1Y2,Q66JY4,1.0
A7E1Y2,Q8C371,1.0
A7E1Y2,Q8C5F7,1.0
A7E1Y2,Q9D9B2,1.0
A7E1Y2,S4R1E6,1.0
A7E1Y3,O09110,1.0
A7E1Y3,O54863,1.0
A7E1Y3,O55047,1.0
A7E1Y3,P08414,1.0
A7E1Y3,P47809,1.0
A7E1Y3,P70236,1.0
A7E1Y3,Q3UIZ8,1.0
A7E1Y3,Q61241,1.0
A7E1Y3,Q641K5,1.0
A7E1Y3,Q8BW96,1.0
A7E1Y3,Q8BZN4,1.0
A7E1Y3,Q8C078,1.0
A7E1Y3,Q8C0V0,1.0
A7E1Y3,Q8VBY2,1.0
A7E1Y3,Q8VDF3,1.0
A7E1Y3,Q91VB2,1.0
A7E1Y3,Q91YA2,1.0
A7E1Y3,Q91YS8,1.0
A7E1Y3,Q924X7,1.0
A7E1Y3,Q99MQ3,0.7142857142857143
A7E1Y3,Q9R0A5,1.0
A7E1Y3,Q9Z0H0,1.0
A7E1Y3,P0C5K0,1.0
A7E1Y3,Q543Z5,1.0
A7E1Y3,Q5SWN9,1.0
A7E1Y3,Q8BGW6,1.0
A7E1Y3,A2AGS2,1.0
A7E1Y3,A2AM78,0.7142857142857143
A7E1Y3,P0C5K1,1.0
A7E1Y3,Q3U258,0.7142857142857143
A7E1Y3,Q3UU57,1.0
A7E1Y3,Q543X6,1.0
A7E1Y3,Q5DU52,0.7142857142857143
A7E1Y3,Q5SUV5,1.0
A7E1Y3,Q6IS31,0.7142857142857143
A7E1Y3,Q8BP44,1.0
A7E1Y3,Q8C0X8,1.0
A7E1Y3,Q8QZV4,1.0
A7E1Y3,Q9JJX8,1.0
A7E1Y3,A0AA95Z2J0,1.0
A7E1Y3,D3YV51,1.0
A7E1Y3,Q3TJG7,1.0
A7E1Y3,Q3TLX7,1.0
A7E1Y3,Q3TN15,1.0
A7E1Y3,Q3TX82,1.0
A7E1Y3,Q3UDI2,1.0
A7E1Y3,Q66JY4,1.0
A7E1Y3,Q8C371,1.0
A7E1Y3,Q8C5F7,1.0
A7E1Y3,Q9D9B2,1.0
A7E1Y3,S4R1E6,1.0
A7E1Z2,A4Q9E8,1.0
A7E1Z2,A4Q9F0,1.0
A7E1Z2,A4Q9F4,1.0
A7E1Z2,Q80UG8,1.0
A7E1Z2,Q8CHB8,1.0
A7E1Z2,Q91V51,1.0
A7E1Z2,A4Q9F6,1.0
A7E1Z2,A4Q9E4,1.0
A7LM19,Q8BNJ2,1.0
A7LM19,E9PV91,1.0
A7LM19,Q3TNX8,1.0
A7LM19,Q3U025,1.0
A7LM19,Q3U0Z2,1.0
A7LM19,Q6A017,1.0
A7MCT8,Q923E4,1.0
A8ASF5,P97742,1.0
A8ASF5,Q8BGD5,1.0
A8ASF5,Q924X2,1.0
A8ASF5,Q3UIM5,1.0
A8Y5I3,P70388,1.0
A9XMT8,P28738,1.0
B0G0Y1,A2A974,1.0
B0G0Y1,O88833,1.0
B0G0Y1,P28649,1.0
B0G0Y1,Q91WL5,1.0
B0G0Y1,Q64462,1.0
B0G0Y1,Q9DBW0,1.0
B0G0Y1,Q3ZAT3,1.0
B0G0Y1,Q6A152,1.0
B0G0Y1,Q9EP75,1.0
B0G0Y1,A0A1L1SUD6,1.0
B0G0Y2,A2A974,1.0
B0G0Y2,O88833,1.0
B0G0Y2,P28649,1.0
B0G0Y2,Q91WL5,1.0
B0G0Y2,Q64462,1.0
B0G0Y2,Q9DBW0,1.0
B0G0Y2,Q3ZAT3,1.0
B0G0Y2,Q6A152,1.0
B0G0Y2,Q9EP75,1.0
B0G0Y2,A0A1L1SUD6,1.0
O35227,Q9R158,1.0
O35231,P28738,1.0
B1AQD4,P62821,1.0
B1AQD4,Q9D1G1,1.0
B1AQD4,P61294,1.0
B1AQD4,A0A494B945,1.0
B1AQD4,A0A494BA38,1.0
B1AQD4,A0A494BBL7,1.0
B1AQD4,Q0PD66,1.0
B1AQD4,Q3V3C2,1.0
B1AT59,Q400C8,1.0
B1AT59,Q8BVF9,1.0
B1AT60,Q400C8,1.0
B1AT60,Q8BVF9,1.0
O35728,A2A974,1.0
O35728,O88833,1.0
O35728,P28649,1.0
O35728,Q91WL5,1.0
O35728,Q64462,1.0
O35728,Q9DBW0,1.0
O35728,Q3ZAT3,1.0
O35728,Q6A152,1.0
O35728,Q9EP75,1.0
O35728,A0A1L1SUD6,1.0
O35738,Q8CCE9,1.0
O35739,Q8CCE9,1.0
B1AU43,O35495,1.0
B1AU43,P11440,1.0
B1AU43,P30285,1.0
B1AU43,P49615,1.0
B1AU43,P97377,1.0
B1AU43,Q04735,1.0
B1AU43,Q14AX6,1.0
B1AU43,Q3UTQ8,1.0
B1AU43,Q80YP0,1.0
B1AU43,Q8BLF2,1.0
B1AU43,Q8K0D0,1.0
B1AU43,Q8R3L8,1.0
B1AU43,Q99J95,1.0
B1AU43,Q04899,1.0
B1AU43,Q3UGB9,1.0
B1AU43,Q545C3,1.0
B1AU43,Q8BWD8,1.0
B1AU43,Q9QUK0,1.0
B1AU43,Q9QYK9,0.7142857142857143
B1AU43,E0CYC4,1.0
B1AU43,E9PVC7,1.0
B1AU43,Q149A0,1.0
B1AU43,Q3TZA2,1.0
B1AU43,Q3U307,1.0
B1AU43,Q3U6X7,1.0
B1AU43,Q6NVF8,1.0
B1AU43,Q8BFX6,1.0
B1AU43,Q8BN81,1.0
B1AU43,Q8C411,1.0
B1AU43,Q8CEQ0,1.0
B1AU43,A0A1Y7VIW8,1.0
B1AU43,E9PZX7,1.0
B1AU43,E9Q9E4,1.0
B1AU43,Q8BP21,1.0
B1AU43,Q9CYR7,1.0
B1AU43,Q9D193,1.0
B1AW58,O09110,1.0
B1AW58,O54863,1.0
B1AW58,O55047,1.0
B1AW58,P08414,1.0
B1AW58,P47809,1.0
B1AW58,P70236,1.0
B1AW58,Q3UIZ8,1.0
B1AW58,Q61241,1.0
B1AW58,Q641K5,1.0
B1AW58,Q8BW96,1.0
B1AW58,Q8BZN4,1.0
B1AW58,Q8C078,1.0
B1AW58,Q8C0V0,1.0
B1AW58,Q8VBY2,1.0
B1AW58,Q8VDF3,1.0
B1AW58,Q91VB2,1.0
B1AW58,Q91YA2,1.0
B1AW58,Q91YS8,1.0
B1AW58,Q924X7,1.0
B1AW58,Q99MQ3,0.7142857142857143
B1AW58,Q9R0A5,1.0
B1AW58,Q9Z0H0,1.0
B1AW58,P0C5K0,1.0
B1AW58,Q543Z5,1.0
B1AW58,Q5SWN9,1.0
B1AW58,Q8BGW6,1.0
B1AW58,A2AGS2,1.0
B1AW58,A2AM78,0.7142857142857143
B1AW58,P0C5K1,1.0
B1AW58,Q3U258,0.7142857142857143
B1AW58,Q3UU57,1.0
B1AW58,Q543X6,1.0
B1AW58,Q5DU52,0.7142857142857143
B1AW58,Q5SUV5,1.0
B1AW58,Q6IS31,0.7142857142857143
B1AW58,Q8BP44,1.0
B1AW58,Q8C0X8,1.0
B1AW58,Q8QZV4,1.0
B1AW58,Q9JJX8,1.0
B1AW58,A0AA95Z2J0,1.0
B1AW58,D3YV51,1.0
B1AW58,Q3TJG7,1.0
B1AW58,Q3TLX7,1.0
B1AW58,Q3TN15,1.0
B1AW58,Q3TX82,1.0
B1AW58,Q3UDI2,1.0
B1AW58,Q66JY4,1.0
B1AW58,Q8C371,1.0
B1AW58,Q8C5F7,1.0
B1AW58,Q9D9B2,1.0
B1AW58,S4R1E6,1.0
B1AWT2,Q99K70,1.0
B1AWT2,Q7TT45,1.0
B1AX78,Q2TPA8,1.0
B1AXF8,A0A0A6YY36,1.0
B1AXW4,O08807,0.8333333333333334
B1AXW4,P20108,0.8333333333333334
B1AXW4,Q8K4K8,0.8333333333333334
B1AXW5,D3Z4A4,1.0
B1AZF3,Q80YE4,1.0
B1AZF9,Q80YE4,1.0
B2KF06,Q3V1D5,1.0
B2KF06,Q32LZ8,1.0
B2KGP3,Q61074,1.0
B2KGP3,Q80TL0,1.0
B2KGP3,Q8BHN0,1.0
B2KGP3,Q8BXN7,1.0
B2KGP3,Q8CGA0,1.0
B2KGP3,Q9QZ67,1.0
B2KGP3,Q3UV70,1.0
B2KGP3,Q504M2,1.0
B2KGP3,Q8R0F6,1.0
B2KGP3,A8Y5Q1,1.0
B2KGP3,B9EHW0,1.0
B2KGP3,Q05BF9,1.0
B2KGP3,A0A0J9YVG0,1.0
B2KGP3,A2AJP9,1.0
B2KGP3,A2AJQ0,1.0
B2KGP3,A8Y5Q0,1.0
O70237,Q8CCE9,1.0
B2RQ14,Q8CDA1,1.0
O70443,B2RSH2,1.0
O70443,P18872,1.0
B2RQP1,Q05921,1.0
O70494,Q8CCE9,1.0
B2RRI1,Q9Z0F8,1.0
B2RRI4,Q9Z0F8,1.0
B2RRN5,P56371,1.0
B2RRN5,Q91ZR1,1.0
O88325,O54752,1.0
B2RSF7,Q8K297,1.0
B2RSF7,Q6NVG7,1.0
B2RSR0,A2A974,1.0
B2RSR0,O88833,1.0
B2RSR0,P28649,1.0
B2RSR0,Q91WL5,1.0
B2RSR0,Q64462,1.0
B2RSR0,Q9DBW0,1.0
B2RSR0,Q3ZAT3,1.0
B2RSR0,Q6A152,1.0
B2RSR0,Q9EP75,1.0
B2RSR0,A0A1L1SUD6,1.0
B2RT16,Q3TFD2,1.0
B2RT16,Q8BYI6,1.0
B2RT16,Q9D5U0,1.0
B2RTJ8,O35710,1.0
B2RU67,Q640M6,1.0
B2RU67,Q9ESM6,1.0
B2RU67,Q9JL56,1.0
B2RU67,Q3TT99,1.0
B2RUC3,P35689,1.0
B2RUD9,O35674,1.0
B2RUD9,Q05910,1.0
B2RUD9,Q61072,1.0
B2RUD9,Q61824,1.0
B2RUD9,Q9JI76,1.0
B2RUD9,Q9JLN6,1.0
B2RUD9,Q923W9,1.0
B2RUJ1,O09000,1.0
B2RUR3,B5X0E4,1.0
B2RUR3,P06795,1.0
B2RUR3,P21440,1.0
B2RUR3,P21447,1.0
B2RUR3,Q9QY30,1.0
B2RUR5,Q9JI60,1.0
B2RVS5,A2AA28,1.0
B2RVS5,D3YWP0,1.0
B2RVS5,Q8BLU2,1.0
B2RVS5,Q8C436,1.0
B2RVS5,Q9CZ09,1.0
B2RVS5,Q9CQL0,1.0
B2RVS5,Q8CDZ2,1.0
B2RVZ3,B2RSH2,1.0
B2RVZ3,P18872,1.0
B2RWI2,Q9EP89,1.0
O89090,Q8CCE9,1.0
O89091,Q8CCE9,1.0
B2RWU5,E9Q876,1.0
B2RWU5,P41233,1.0
B2RWU5,P41234,1.0
B2RWU5,Q5SSE9,1.0
B2RWU5,Q8K440,1.0
B2RWU5,Q8K442,1.0
B2RWU5,Q8K448,1.0
B2RWU5,Q8R420,1.0
B2RWU5,Q8K449,1.0
P00757,P05208,0.75
P00757,P36368,1.0
P00757,Q3UP87,0.75
P00757,Q91X79,0.75
P00757,P08882,1.0
P00757,Q14B24,1.0
P00757,Q61096,0.75
P00757,Q9CQ52,0.75
P00757,Q3SYP2,0.75
P00757,Q5M8S2,1.0
P00757,Q8BW11,1.0
P00757,Q9QUL7,1.0
B2RWW7,P59509,1.0
B2RWZ9,Q64285,0.7142857142857143
B2RWZ9,Q3V2H7,0.7142857142857143
B2RWZ9,Q922R3,0.7142857142857143
B2RX10,Q8BGE5,1.0
B2RX13,Q3UQ28,1.0
B2RX16,O88839,1.0
B2RX16,Q9R159,1.0
B2RY11,E9Q876,1.0
B2RY11,P41233,1.0
B2RY11,P41234,1.0
B2RY11,Q5SSE9,1.0
B2RY11,Q8K440,1.0
B2RY11,Q8K442,1.0
B2RY11,Q8K448,1.0
B2RY11,Q8R420,1.0
B2RY11,Q8K449,1.0
B2RY21,E9Q876,1.0
B2RY21,P41233,1.0
B2RY21,P41234,1.0
B2RY21,Q5SSE9,1.0
B2RY21,Q8K440,1.0
B2RY21,Q8K442,1.0
B2RY21,Q8K448,1.0
B2RY21,Q8R420,1.0
B2RY21,Q8K449,1.0
B7ZBY7,Q6ZPJ3,1.0
B7ZBY7,Q7TSS2,1.0
B7ZBY7,Q3UE37,1.0
B7ZBY7,A0PJN4,1.0
B7ZBY7,A0A0G2JGZ3,1.0
B7ZC85,O09110,1.0
B7ZC85,O54863,1.0
B7ZC85,O55047,1.0
B7ZC85,P08414,1.0
B7ZC85,P47809,1.0
B7ZC85,P70236,1.0
B7ZC85,Q3UIZ8,1.0
B7ZC85,Q61241,1.0
B7ZC85,Q641K5,1.0
B7ZC85,Q8BW96,1.0
B7ZC85,Q8BZN4,1.0
B7ZC85,Q8C078,1.0
B7ZC85,Q8C0V0,1.0
B7ZC85,Q8VBY2,1.0
B7ZC85,Q8VDF3,1.0
B7ZC85,Q91VB2,1.0
B7ZC85,Q91YA2,1.0
B7ZC85,Q91YS8,1.0
B7ZC85,Q924X7,1.0
B7ZC85,Q99MQ3,0.7142857142857143
B7ZC85,Q9R0A5,1.0
B7ZC85,Q9Z0H0,1.0
B7ZC85,P0C5K0,1.0
B7ZC85,Q543Z5,1.0
B7ZC85,Q5SWN9,1.0
B7ZC85,Q8BGW6,1.0
B7ZC85,A2AGS2,1.0
B7ZC85,A2AM78,0.7142857142857143
B7ZC85,P0C5K1,1.0
B7ZC85,Q3U258,0.7142857142857143
B7ZC85,Q3UU57,1.0
B7ZC85,Q543X6,1.0
B7ZC85,Q5DU52,0.7142857142857143
B7ZC85,Q5SUV5,1.0
B7ZC85,Q6IS31,0.7142857142857143
B7ZC85,Q8BP44,1.0
B7ZC85,Q8C0X8,1.0
B7ZC85,Q8QZV4,1.0
B7ZC85,Q9JJX8,1.0
B7ZC85,A0AA95Z2J0,1.0
B7ZC85,D3YV51,1.0
B7ZC85,Q3TJG7,1.0
B7ZC85,Q3TLX7,1.0
B7ZC85,Q3TN15,1.0
B7ZC85,Q3TX82,1.0
B7ZC85,Q3UDI2,1.0
B7ZC85,Q66JY4,1.0
B7ZC85,Q8C371,1.0
B7ZC85,Q8C5F7,1.0
B7ZC85,Q9D9B2,1.0
B7ZC85,S4R1E6,1.0
P08113,P07901,1.0
P08752,B2RSH2,1.0
P08752,P18872,1.0
B7ZMT1,O35495,1.0
B7ZMT1,P11440,1.0
B7ZMT1,P30285,1.0
B7ZMT1,P49615,1.0
B7ZMT1,P97377,1.0
B7ZMT1,Q04735,1.0
B7ZMT1,Q14AX6,1.0
B7ZMT1,Q3UTQ8,1.0
B7ZMT1,Q80YP0,1.0
B7ZMT1,Q8BLF2,1.0
B7ZMT1,Q8K0D0,1.0
B7ZMT1,Q8R3L8,1.0
B7ZMT1,Q99J95,1.0
B7ZMT1,Q04899,1.0
B7ZMT1,Q3UGB9,1.0
B7ZMT1,Q545C3,1.0
B7ZMT1,Q8BWD8,1.0
B7ZMT1,Q9QUK0,1.0
B7ZMT1,Q9QYK9,0.7142857142857143
B7ZMT1,E0CYC4,1.0
B7ZMT1,E9PVC7,1.0
B7ZMT1,Q149A0,1.0
B7ZMT1,Q3TZA2,1.0
B7ZMT1,Q3U307,1.0
B7ZMT1,Q3U6X7,1.0
B7ZMT1,Q6NVF8,1.0
B7ZMT1,Q8BFX6,1.0
B7ZMT1,Q8BN81,1.0
B7ZMT1,Q8C411,1.0
B7ZMT1,Q8CEQ0,1.0
B7ZMT1,A0A1Y7VIW8,1.0
B7ZMT1,E9PZX7,1.0
B7ZMT1,E9Q9E4,1.0
B7ZMT1,Q8BP21,1.0
B7ZMT1,Q9CYR7,1.0
B7ZMT1,Q9D193,1.0
B7ZMV1,Q8C9W3,0.8461538461538461
B7ZMZ4,Q8VCS0,1.0
B7ZN13,E9Q3E1,1.0
B7ZN13,P47739,1.0
B7ZN13,P47740,1.0
B7ZN13,Q80VQ0,1.0
B7ZN13,Q9JHW9,1.0
P09922,Q8K1M6,1.0
P09922,Q3U4P3,1.0
B7ZN16,Q3U4I7,1.0
B7ZNA4,E9Q876,1.0
B7ZNA4,P41233,1.0
B7ZNA4,P41234,1.0
B7ZNA4,Q5SSE9,1.0
B7ZNA4,Q8K440,1.0
B7ZNA4,Q8K442,1.0
B7ZNA4,Q8K448,1.0
B7ZNA4,Q8R420,1.0
B7ZNA4,Q8K449,1.0
B7ZNH2,Q8CCE9,1.0
B7ZNJ0,Q9Z0F8,1.0
B7ZNX1,Q68SA9,1.0
B7ZP10,P56656,1.0
B7ZP10,Q6VVW9,1.0
B7ZP10,Q91X77,1.0
B7ZP10,Q9D816,1.0
B7ZP10,E9Q816,1.0
B7ZP10,P56654,1.0
B7ZP10,P56655,1.0
B7ZP10,P56657,1.0
B7ZP10,Q6XVG2,1.0
B7ZP10,Q91W64,1.0
B7ZP10,Q3UEF2,1.0
B7ZP10,Q3UT49,1.0
B7ZP10,Q6PER7,1.0
B7ZP10,Q8C7K2,1.0
B7ZP10,Q9DBD9,1.0
B7ZP17,F2YMG0,1.0
B7ZP17,P00755,1.0
B7ZP17,P00756,1.0
B7ZP17,P03953,1.0
B7ZP17,P04187,1.0
B7ZP17,P11032,1.0
B7ZP17,P15948,1.0
B7ZP17,P15949,1.0
B7ZP17,P21812,1.0
B7ZP17,P21844,1.0
B7ZP17,P21845,1.0
B7ZP17,P28293,1.0
B7ZP17,P36369,1.0
B7ZP17,Q02844,1.0
B7ZP17,Q3V0Q7,1.0
B7ZP17,Q402U7,1.0
B7ZP17,Q61759,1.0
